phase,branch,variants_generated,geometry_interpretable,variants_scored,best_variant,best_C_peak_A,best_D_peak_A,best_C_error_A,best_D_error_A,best_combined_abs_error_A,primary_C_trend,primary_D_trend,interpretation
constrained_backbone_context,constrained local phi/psi torsion context,,,,,,,,,,local torsion perturbations did not move C peak positions meaningfully,local torsion perturbations did not move D peak positions meaningfully,local C-alpha anchored torsion basins were too local to move the larger C/D length scales
global_deformation,global deformation pilot,12,12,12,axial_m1,5.693360165041188,7.275583852960666,0.0933601650411883,-0.024416147039334,0.1177763120805224,C is axial-sensitive; radial/twist/anisotropic tests were mostly flat for C,D is radial/inter-strand-distance sensitive and moved monotonically with radial scale,global pilot separated C-like axial sensitivity from D-like radial sensitivity
radial_axial_refinement,focused radial/axial refinement,25,25,25,radial_1p0000__axial_0p9900,5.693360165041188,7.275583852960666,0.0933601650411883,-0.024416147039334,0.1177763120805224,axial tuning mainly controls C but did not reach 5.6 A in this grid,radial tuning mainly controls D; baseline radial scale preserved D best here,focused grid confirmed axial/radial separation with some bin-threshold coupling
axial_only_extension,axial-only extension,7,7,7,axial_only_0p9700,5.64223438895561,7.275583852960666,0.0422343889556104,-0.024416147039334,0.0666505359949445,stronger axial compression moved C toward 5.6 A,D remained stable across 0.9700 to 1.0000 axial scale,moderate axial compression improved combined C/D error without damaging D
fine_axial_profile_diagnostic,fine axial profile diagnostic,7,7,7,fine_axial_0p9700,5.64223438895561,7.275583852960666,0.0422343889556104,-0.024416147039334,0.0666505359949445,C profile moves smoothly underneath discretized picked peaks,D remains picked-position stable with very small local-profile shifts,C response is real profile movement rather than random peak-picking noise
rise_like_diagnostic,rise-like diagnostic,9,9,9,rise_like_0p9700,5.64223438895561,7.275583852960666,0.0422343889556104,-0.024416147039334,0.0666505359949445,C continues toward 5.6 A under stronger rise-like compression,D remains stable from 0.9700 to 1.0000 but drops at 0.9600/0.9650,0.9700 is the best combined diagnostic compromise
parameterized_rise_diagnostic,layer-aware parameterized rise diagnostic,9,9,9,parameterized_rise_0p9750,5.64223438895561,7.275583852960666,0.0422343889556104,-0.024416147039334,0.0666505359949445,C moves toward 5.6 A with layer/repeat-aware rise compression,D remains stable from 0.9750 to 1.0000 but drops at 0.9600 through 0.9700,0.9750 ties the generic rise_like best score while using a more interpretable layer-aware transform
updated_overall_best,updated overall best diagnostic,9,9,9,parameterized_rise_0p9750,5.64223438895561,7.275583852960666,0.0422343889556104,-0.024416147039334,0.0666505359949445,best current diagnostic C improvement is at about 2.5% effective layer-rise compression,best current diagnostic D preservation remains near 7.2756 A,moderate parameterized rise compression is the current best diagnostic result
register_defined_layer_audit,register-defined layer model audit,0,not applicable,0,not applicable,,,,,,not applicable,not applicable,z-slice layers are computationally regular but chemically non-unique; register-defined layers are chemically cleaner but geometrically diffuse
final_current_interpretation,final current interpretation after register-defined layer audit,9,9,9,parameterized_rise_0p9750,5.6422,7.2756,0.0422,-0.0244,0.0667,"C is axial/rise-like sensitive, but the current layer model is computational rather than chemically definitive",D is radial/inter-strand-distance sensitive and remains preserved in the best diagnostic result,"best current result is effective computational z-layer compression, pending chemically/register-defined physical model"
